Date             Description            Ref         withdrawl           deposit         balance
12-4-2010          hotel m               1253        5000                 2000           2345612
13-5-2010          petrol pump           0967        500                  100            2346735
18-5-2011          barber shop           3467        300                  1000           2346745
12-3-2012          hotel j               6545        1000                 5000           2357100
4-5-2012           stationary shop       4587        50                   0              2357050
6-6-2014           School books          5784        5000                 1000           2361000 
7-8-2015           Grocery               7865        3000                 0              2364000
4-3-2018           Bill                  3875        21000                0              2343000               
4-8-2020           mall xyz              43587       1000                 3000           2345000
10-4-2021          petrol                54785       5000                 5000           2345000
